 Name (Validation-Key),UI-Label,Description
1hr,1 Hourly Frequency,sampled hourly
1hrCM,1 Hour Climatology Monthly,monthly-mean diurnal cycle resolving each day into 1-hour means
1hrPt,1 Hour Point,sampled hourly, at specified time point within an hour
3hr,3 Hourly Frequency,3 hourly mean samples
3hrPt,3 Hour Point,sampled 3 hourly, at specified time point within the time period
6hr,6 Hourly Frequency,6 hourly mean samples
6hrPt,6 Hour Point,sampled 6 hourly, at specified time point within the time period
day,Daily Frequency,daily mean samples
dec,Decadal Frequency,decadal mean samples
fx,Fixed Frequency,fixed (time invariant) field
mon,Monthly Frequency,monthly mean samples
monC,Monthly Climatology,monthly climatology computed from monthly mean samples
monPt,Monthly Point,sampled monthly, at specified time point within the time period
subhrPt,Sub-Hourly Point,sampled sub-hourly, at specified time point within an hour
yr,Yearly Frequency,annual mean samples
yrPt,Yearly Point,sampled yearly, at specified time point within the time period
